instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,59334792,59334792,1,11564213,15923526,"[15258418, 16234172, 16277989]"
0,8,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,91930144,91930144,26822631,43056803,16291113,"[16277989, 16277237, 16318115]"
0,16,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,108247207,108247207,43056803,59334792,16304138,"[16277237, 16318115, 16317063]"
0,24,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,124563214,124563214,59334792,75612029,16317061,"[16318115, 16317063, 16316007]"
0,32,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,140878165,140878165,75612029,91930144,16316007,"[16317063, 16316007, 16314951]"
0,40,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,157192060,157192060,91930144,108247207,16314951,"[16316007, 16314951, 16313895]"
0,48,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,173532508,173532508,108247207,124563214,16323098,"[16314951, 16313895, 16340448]"
0,56,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,189871896,189871896,124563214,140878165,16331243,"[16313895, 16340448, 16339388]"
0,64,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,206210220,206210220,140878165,157192060,16339386,"[16340448, 16339388, 16338324]"
0,72,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,222547218,222547218,157192060,173532508,16338236,"[16339388, 16338324, 16336998]"
0,80,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,238883152,238883152,173532508,189871896,16337085,"[16338324, 16336998, 16335934]"
0,88,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,255218018,255218018,189871896,206210220,16335932,"[16336998, 16335934, 16334866]"
0,96,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,271551812,271551812,206210220,222547218,16334864,"[16335934, 16334866, 16333794]"
0,104,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,287884538,287884538,222547218,238883152,16333795,"[16334866, 16333794, 16332726]"
0,112,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,304215930,304215930,238883152,255218018,16332637,"[16333794, 16332726, 16331392]"
0,120,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,320546508,320546508,255218018,271551812,16331565,"[16332726, 16331392, 16330578]"
0,128,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,336875752,336875752,271551812,287884538,16330404,"[16331392, 16330578, 16329244]"
0,136,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,353203916,353203916,287884538,304215930,16329328,"[16330578, 16329244, 16328164]"
0,144,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,369531004,369531004,304215930,320546508,16328165,"[16329244, 16328164, 16327088]"
0,152,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,385857012,385857012,320546508,336875752,16327086,"[16328164, 16327088, 16326008]"
0,160,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,402181674,402181674,336875752,353203916,16325919,"[16327088, 16326008, 16324662]"
0,168,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,418505252,418505252,353203916,369531004,16324749,"[16326008, 16324662, 16323578]"
0,176,meta-llama/Llama-3.1-8B-mini4L,2048,4,0,434827746,434827746,369531004,385857012,16323578,"[16324662, 16323578, 16322494]"
