instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,826633831,779707023,0,11008270,11140561,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11200253, 11203644, 11203868, 11204028, 11204252, 11204476, 11204668, 11204828, 11205020, 11205212, 11070049, 11243454, 11314697, 11072647, 11072967, 11073255, 11073543, 11073415, 11073511, 11073639, 11073799, 11073959, 11074119, 11074279, 11074439, 11074599, 11074759, 11074887, 11075047, 11075175, 11075303]"
0,2,meta-llama/Llama-3.1-8B,16,69,479613521,1249147598,769534077,2018519,13218772,11122283,"[11203644, 11203868, 11204028, 11204252, 11204476, 11204668, 11204828, 11205020, 11205212, 11070049, 11243454, 11314697, 11072647, 11072967, 11073255, 11073543, 11073415, 11073511, 11073639, 11073799, 11073959, 11074119, 11074279, 11074439, 11074599, 11074759, 11074887, 11075047, 11075175, 11075303, 11243550, 11243550, 11243582, 11243614, 11243614, 11243646, 11243646, 11613539, 11072839, 11072743, 11072647, 11072551, 11072455, 11072359, 11072263, 11072167, 11072071, 11072007, 11071911, 11071943, 11072071, 11072199, 11072295, 11072455, 11072583, 11072679, 11072807, 11072935, 11073063, 11073159, 11073287, 11073383, 11073479, 11073607, 11073735, 11075783, 11077767, 11079783]"
0,6,meta-llama/Llama-3.1-8B,15,84,610813769,1553341848,942528079,5172023,16486720,11157124,"[11072647, 11072967, 11073255, 11073543, 11073415, 11073511, 11073639, 11073799, 11073959, 11074119, 11074279, 11074439, 11074599, 11074759, 11074887, 11075047, 11075175, 11075303, 11243550, 11243550, 11243582, 11243614, 11243614, 11243646, 11243646, 11613539, 11072839, 11072743, 11072647, 11072551, 11072455, 11072359, 11072263, 11072167, 11072071, 11072007, 11071911, 11071943, 11072071, 11072199, 11072295, 11072455, 11072583, 11072679, 11072807, 11072935, 11073063, 11073159, 11073287, 11073383, 11073479, 11073607, 11073735, 11075783, 11077767, 11079783, 11245182, 11245374, 11247326, 11249246, 11251166, 11253022, 11254878, 11256670, 11258462, 11260222, 11261950, 11263678, 11265374, 11267038, 11268670, 11270334, 11271966, 11273534, 11275102, 11276638, 11278174, 11279678, 11281182, 11282686, 11284126, 11285566, 11287006]"
0,8,meta-llama/Llama-3.1-8B,18,58,903845071,1553341848,649496777,1493962,13107501,11164724,"[11072839, 11072743, 11072647, 11072551, 11072455, 11072359, 11072263, 11072167, 11072071, 11072007, 11071911, 11071943, 11072071, 11072199, 11072295, 11072455, 11072583, 11072679, 11072807, 11072935, 11073063, 11073159, 11073287, 11073383, 11073479, 11073607, 11073735, 11075783, 11077767, 11079783, 11245182, 11245374, 11247326, 11249246, 11251166, 11253022, 11254878, 11256670, 11258462, 11260222, 11261950, 11263678, 11265374, 11267038, 11268670, 11270334, 11271966, 11273534, 11275102, 11276638, 11278174, 11279678, 11281182, 11282686, 11284126, 11285566, 11287006]"
0,4,meta-llama/Llama-3.1-8B,13,96,587870263,1665607238,1077736975,5802026,16872075,11166998,"[11243454, 11314697, 11072647, 11072967, 11073255, 11073543, 11073415, 11073511, 11073639, 11073799, 11073959, 11074119, 11074279, 11074439, 11074599, 11074759, 11074887, 11075047, 11075175, 11075303, 11243550, 11243550, 11243582, 11243614, 11243614, 11243646, 11243646, 11613539, 11072839, 11072743, 11072647, 11072551, 11072455, 11072359, 11072263, 11072167, 11072071, 11072007, 11071911, 11071943, 11072071, 11072199, 11072295, 11072455, 11072583, 11072679, 11072807, 11072935, 11073063, 11073159, 11073287, 11073383, 11073479, 11073607, 11073735, 11075783, 11077767, 11079783, 11245182, 11245374, 11247326, 11249246, 11251166, 11253022, 11254878, 11256670, 11258462, 11260222, 11261950, 11263678, 11265374, 11267038, 11268670, 11270334, 11271966, 11273534, 11275102, 11276638, 11278174, 11279678, 11281182, 11282686, 11284126, 11285566, 11287006, 11219339, 11221003, 11222603, 11224235, 11225803, 11227403, 11228939, 11230507, 11232011, 11233547]"
1,3,meta-llama/Llama-3.1-8B,4,12,570907776,705905340,134997564,564370,11493623,11227631,"[11201660, 11201916, 11202172, 11204191, 11241150, 11241470, 11241758, 11242014, 11242302, 11242526, 11242782]"
1,7,meta-llama/Llama-3.1-8B,2,9,811936856,918957846,107020990,6022652,17067470,11244190,"[11243454, 11243678, 11243902, 11244094, 11244318, 11244478, 11244702, 11244894]"
1,5,meta-llama/Llama-3.1-8B,15,63,604829893,1323388866,718558973,11177254,22381445,11228669,"[11241150, 11241470, 11241758, 11242014, 11242302, 11242526, 11242782, 11204636, 11204828, 11204988, 11205180, 11205340, 11205500, 11205660, 11205852, 11206012, 11206172, 11044818, 11243454, 11243678, 11243902, 11244094, 11244318, 11244478, 11244702, 11244894, 11209532, 11209916, 11210268, 11210620, 11210972, 11211292, 11211612, 11211964, 11212284, 11214044, 11064102, 11246942, 11247070, 11247262, 11247422, 11247582, 11247710, 11247902, 11248030, 11248158, 11248318, 11248478, 11248638, 11248766, 11248894, 11249054, 11249182, 11249342, 11249470, 11249598, 11251486, 11253374, 11255230, 11257054, 11258846, 11260606]"
1,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1323388866,296418789,4100273,15164375,11250176,"[11246942, 11247070, 11247262, 11247422, 11247582, 11247710, 11247902, 11248030, 11248158, 11248318, 11248478, 11248638, 11248766, 11248894, 11249054, 11249182, 11249342, 11249470, 11249598, 11251486, 11253374, 11255230, 11257054, 11258846, 11260606]"
1,1,meta-llama/Llama-3.1-8B,22,104,347938952,1514578397,1166639445,121625,11670489,11213290,"[11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 10929253, 11201660, 11201916, 11202172, 11204191, 11241150, 11241470, 11241758, 11242014, 11242302, 11242526, 11242782, 11204636, 11204828, 11204988, 11205180, 11205340, 11205500, 11205660, 11205852, 11206012, 11206172, 11044818, 11243454, 11243678, 11243902, 11244094, 11244318, 11244478, 11244702, 11244894, 11209532, 11209916, 11210268, 11210620, 11210972, 11211292, 11211612, 11211964, 11212284, 11214044, 11064102, 11246942, 11247070, 11247262, 11247422, 11247582, 11247710, 11247902, 11248030, 11248158, 11248318, 11248478, 11248638, 11248766, 11248894, 11249054, 11249182, 11249342, 11249470, 11249598, 11251486, 11253374, 11255230, 11257054, 11258846, 11260606, 11235051, 11236523, 11237995, 11239467, 11240907, 11242347, 11243787, 11245195, 11246603, 11247979, 11249355, 11250699, 11252075, 11253419, 11254731, 11256043, 11257355]"
