instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,12,4,0,44476031,44476031,1,11034092,11147313,"[11147313, 11147313, 11147313]"
0,16,meta-llama/Llama-3.1-8B,12,4,100000000,145643003,45643003,476031,12261601,11127134,"[11168494, 11106454, 11106454]"
0,32,meta-llama/Llama-3.1-8B,12,4,100000000,145643003,45643003,476031,12261601,11127134,"[11168494, 11106454, 11106454]"
0,48,meta-llama/Llama-3.1-8B,12,4,100000000,145643003,45643003,476031,12261601,11127134,"[11168494, 11106454, 11106454]"
0,64,meta-llama/Llama-3.1-8B,12,4,100000000,145643003,45643003,476031,12261601,11127134,"[11168494, 11106454, 11106454]"
0,80,meta-llama/Llama-3.1-8B,12,4,100000000,145643003,45643003,476031,12261601,11127134,"[11168494, 11106454, 11106454]"
0,96,meta-llama/Llama-3.1-8B,12,4,100000000,145643003,45643003,476031,12261601,11127134,"[11168494, 11106454, 11106454]"
1,1,meta-llama/Llama-3.1-8B,12,4,100000000,145720677,45720677,476031,12345295,11125127,"[11132630, 11121376, 11121376]"
1,17,meta-llama/Llama-3.1-8B,12,4,100000000,145720677,45720677,476031,12345295,11125127,"[11132630, 11121376, 11121376]"
1,33,meta-llama/Llama-3.1-8B,12,4,100000000,145720677,45720677,476031,12345295,11125127,"[11132630, 11121376, 11121376]"
1,49,meta-llama/Llama-3.1-8B,12,4,100000000,145720677,45720677,476031,12345295,11125127,"[11132630, 11121376, 11121376]"
1,65,meta-llama/Llama-3.1-8B,12,4,100000000,145720677,45720677,476031,12345295,11125127,"[11132630, 11121376, 11121376]"
1,81,meta-llama/Llama-3.1-8B,12,4,100000000,145720677,45720677,476031,12345295,11125127,"[11132630, 11121376, 11121376]"
1,97,meta-llama/Llama-3.1-8B,12,4,100000000,145720677,45720677,476031,12345295,11125127,"[11132630, 11121376, 11121376]"
2,2,meta-llama/Llama-3.1-8B,12,4,100000000,145722592,45722592,476031,12352597,11123331,"[11127243, 11121376, 11121376]"
2,18,meta-llama/Llama-3.1-8B,12,4,100000000,145722592,45722592,476031,12352597,11123331,"[11127243, 11121376, 11121376]"
2,34,meta-llama/Llama-3.1-8B,12,4,100000000,145722592,45722592,476031,12352597,11123331,"[11127243, 11121376, 11121376]"
2,50,meta-llama/Llama-3.1-8B,12,4,100000000,145722592,45722592,476031,12352597,11123331,"[11127243, 11121376, 11121376]"
2,66,meta-llama/Llama-3.1-8B,12,4,100000000,145722592,45722592,476031,12352597,11123331,"[11127243, 11121376, 11121376]"
2,82,meta-llama/Llama-3.1-8B,12,4,100000000,145722592,45722592,476031,12352597,11123331,"[11127243, 11121376, 11121376]"
2,98,meta-llama/Llama-3.1-8B,12,4,100000000,145722592,45722592,476031,12352597,11123331,"[11127243, 11121376, 11121376]"
3,3,meta-llama/Llama-3.1-8B,12,4,100000000,145724507,45724507,476031,12359899,11121536,"[11121856, 11121376, 11121376]"
3,19,meta-llama/Llama-3.1-8B,12,4,100000000,145724507,45724507,476031,12359899,11121536,"[11121856, 11121376, 11121376]"
3,35,meta-llama/Llama-3.1-8B,12,4,100000000,145724507,45724507,476031,12359899,11121536,"[11121856, 11121376, 11121376]"
3,51,meta-llama/Llama-3.1-8B,12,4,100000000,145724507,45724507,476031,12359899,11121536,"[11121856, 11121376, 11121376]"
3,67,meta-llama/Llama-3.1-8B,12,4,100000000,145724507,45724507,476031,12359899,11121536,"[11121856, 11121376, 11121376]"
3,83,meta-llama/Llama-3.1-8B,12,4,100000000,145724507,45724507,476031,12359899,11121536,"[11121856, 11121376, 11121376]"
3,99,meta-llama/Llama-3.1-8B,12,4,100000000,145724507,45724507,476031,12359899,11121536,"[11121856, 11121376, 11121376]"
4,4,meta-llama/Llama-3.1-8B,12,4,100000000,145644662,45644662,476031,12267877,11125595,"[11163877, 11106454, 11106454]"
4,20,meta-llama/Llama-3.1-8B,12,4,100000000,145644662,45644662,476031,12267877,11125595,"[11163877, 11106454, 11106454]"
4,36,meta-llama/Llama-3.1-8B,12,4,100000000,145644662,45644662,476031,12267877,11125595,"[11163877, 11106454, 11106454]"
4,52,meta-llama/Llama-3.1-8B,12,4,100000000,145644662,45644662,476031,12267877,11125595,"[11163877, 11106454, 11106454]"
4,68,meta-llama/Llama-3.1-8B,12,4,100000000,145644662,45644662,476031,12267877,11125595,"[11163877, 11106454, 11106454]"
4,84,meta-llama/Llama-3.1-8B,12,4,100000000,145644662,45644662,476031,12267877,11125595,"[11163877, 11106454, 11106454]"
5,5,meta-llama/Llama-3.1-8B,12,4,100000000,145646321,45646321,476031,12274153,11124056,"[11159260, 11106454, 11106454]"
5,21,meta-llama/Llama-3.1-8B,12,4,100000000,145646321,45646321,476031,12274153,11124056,"[11159260, 11106454, 11106454]"
5,37,meta-llama/Llama-3.1-8B,12,4,100000000,145646321,45646321,476031,12274153,11124056,"[11159260, 11106454, 11106454]"
5,53,meta-llama/Llama-3.1-8B,12,4,100000000,145646321,45646321,476031,12274153,11124056,"[11159260, 11106454, 11106454]"
5,69,meta-llama/Llama-3.1-8B,12,4,100000000,145646321,45646321,476031,12274153,11124056,"[11159260, 11106454, 11106454]"
5,85,meta-llama/Llama-3.1-8B,12,4,100000000,145646321,45646321,476031,12274153,11124056,"[11159260, 11106454, 11106454]"
6,6,meta-llama/Llama-3.1-8B,12,4,100000000,145647980,45647980,476031,12280429,11122517,"[11154643, 11106454, 11106454]"
6,22,meta-llama/Llama-3.1-8B,12,4,100000000,145647980,45647980,476031,12280429,11122517,"[11154643, 11106454, 11106454]"
6,38,meta-llama/Llama-3.1-8B,12,4,100000000,145647980,45647980,476031,12280429,11122517,"[11154643, 11106454, 11106454]"
6,54,meta-llama/Llama-3.1-8B,12,4,100000000,145647980,45647980,476031,12280429,11122517,"[11154643, 11106454, 11106454]"
6,70,meta-llama/Llama-3.1-8B,12,4,100000000,145647980,45647980,476031,12280429,11122517,"[11154643, 11106454, 11106454]"
6,86,meta-llama/Llama-3.1-8B,12,4,100000000,145647980,45647980,476031,12280429,11122517,"[11154643, 11106454, 11106454]"
7,7,meta-llama/Llama-3.1-8B,12,4,100000000,145649639,45649639,476031,12286705,11120978,"[11150026, 11106454, 11106454]"
7,23,meta-llama/Llama-3.1-8B,12,4,100000000,145649639,45649639,476031,12286705,11120978,"[11150026, 11106454, 11106454]"
7,39,meta-llama/Llama-3.1-8B,12,4,100000000,145649639,45649639,476031,12286705,11120978,"[11150026, 11106454, 11106454]"
7,55,meta-llama/Llama-3.1-8B,12,4,100000000,145649639,45649639,476031,12286705,11120978,"[11150026, 11106454, 11106454]"
7,71,meta-llama/Llama-3.1-8B,12,4,100000000,145649639,45649639,476031,12286705,11120978,"[11150026, 11106454, 11106454]"
7,87,meta-llama/Llama-3.1-8B,12,4,100000000,145649639,45649639,476031,12286705,11120978,"[11150026, 11106454, 11106454]"
8,8,meta-llama/Llama-3.1-8B,12,4,100000000,145651298,45651298,476031,12292981,11119439,"[11145409, 11106454, 11106454]"
8,24,meta-llama/Llama-3.1-8B,12,4,100000000,145651298,45651298,476031,12292981,11119439,"[11145409, 11106454, 11106454]"
8,40,meta-llama/Llama-3.1-8B,12,4,100000000,145651298,45651298,476031,12292981,11119439,"[11145409, 11106454, 11106454]"
8,56,meta-llama/Llama-3.1-8B,12,4,100000000,145651298,45651298,476031,12292981,11119439,"[11145409, 11106454, 11106454]"
8,72,meta-llama/Llama-3.1-8B,12,4,100000000,145651298,45651298,476031,12292981,11119439,"[11145409, 11106454, 11106454]"
8,88,meta-llama/Llama-3.1-8B,12,4,100000000,145651298,45651298,476031,12292981,11119439,"[11145409, 11106454, 11106454]"
9,9,meta-llama/Llama-3.1-8B,12,4,100000000,145652957,45652957,476031,12299257,11117900,"[11140792, 11106454, 11106454]"
9,25,meta-llama/Llama-3.1-8B,12,4,100000000,145652957,45652957,476031,12299257,11117900,"[11140792, 11106454, 11106454]"
9,41,meta-llama/Llama-3.1-8B,12,4,100000000,145652957,45652957,476031,12299257,11117900,"[11140792, 11106454, 11106454]"
9,57,meta-llama/Llama-3.1-8B,12,4,100000000,145652957,45652957,476031,12299257,11117900,"[11140792, 11106454, 11106454]"
9,73,meta-llama/Llama-3.1-8B,12,4,100000000,145652957,45652957,476031,12299257,11117900,"[11140792, 11106454, 11106454]"
9,89,meta-llama/Llama-3.1-8B,12,4,100000000,145652957,45652957,476031,12299257,11117900,"[11140792, 11106454, 11106454]"
10,10,meta-llama/Llama-3.1-8B,12,4,100000000,145654616,45654616,476031,12305533,11116361,"[11136175, 11106454, 11106454]"
10,26,meta-llama/Llama-3.1-8B,12,4,100000000,145654616,45654616,476031,12305533,11116361,"[11136175, 11106454, 11106454]"
10,42,meta-llama/Llama-3.1-8B,12,4,100000000,145654616,45654616,476031,12305533,11116361,"[11136175, 11106454, 11106454]"
10,58,meta-llama/Llama-3.1-8B,12,4,100000000,145654616,45654616,476031,12305533,11116361,"[11136175, 11106454, 11106454]"
10,74,meta-llama/Llama-3.1-8B,12,4,100000000,145654616,45654616,476031,12305533,11116361,"[11136175, 11106454, 11106454]"
10,90,meta-llama/Llama-3.1-8B,12,4,100000000,145654616,45654616,476031,12305533,11116361,"[11136175, 11106454, 11106454]"
11,11,meta-llama/Llama-3.1-8B,12,4,100000000,145656275,45656275,476031,12311809,11114822,"[11131558, 11106454, 11106454]"
11,27,meta-llama/Llama-3.1-8B,12,4,100000000,145656275,45656275,476031,12311809,11114822,"[11131558, 11106454, 11106454]"
11,43,meta-llama/Llama-3.1-8B,12,4,100000000,145656275,45656275,476031,12311809,11114822,"[11131558, 11106454, 11106454]"
11,59,meta-llama/Llama-3.1-8B,12,4,100000000,145656275,45656275,476031,12311809,11114822,"[11131558, 11106454, 11106454]"
11,75,meta-llama/Llama-3.1-8B,12,4,100000000,145656275,45656275,476031,12311809,11114822,"[11131558, 11106454, 11106454]"
11,91,meta-llama/Llama-3.1-8B,12,4,100000000,145656275,45656275,476031,12311809,11114822,"[11131558, 11106454, 11106454]"
12,12,meta-llama/Llama-3.1-8B,12,4,100000000,145657934,45657934,476031,12318085,11113283,"[11134996, 11099359, 11105494]"
12,28,meta-llama/Llama-3.1-8B,12,4,100000000,145657934,45657934,476031,12318085,11113283,"[11134996, 11099359, 11105494]"
12,44,meta-llama/Llama-3.1-8B,12,4,100000000,145657934,45657934,476031,12318085,11113283,"[11134996, 11099359, 11105494]"
12,60,meta-llama/Llama-3.1-8B,12,4,100000000,145657934,45657934,476031,12318085,11113283,"[11134996, 11099359, 11105494]"
12,76,meta-llama/Llama-3.1-8B,12,4,100000000,145657934,45657934,476031,12318085,11113283,"[11134996, 11099359, 11105494]"
12,92,meta-llama/Llama-3.1-8B,12,4,100000000,145657934,45657934,476031,12318085,11113283,"[11134996, 11099359, 11105494]"
13,13,meta-llama/Llama-3.1-8B,12,4,100000000,145659593,45659593,476031,12324361,11111744,"[11130379, 11099359, 11105494]"
13,29,meta-llama/Llama-3.1-8B,12,4,100000000,145659593,45659593,476031,12324361,11111744,"[11130379, 11099359, 11105494]"
13,45,meta-llama/Llama-3.1-8B,12,4,100000000,145659593,45659593,476031,12324361,11111744,"[11130379, 11099359, 11105494]"
13,61,meta-llama/Llama-3.1-8B,12,4,100000000,145659593,45659593,476031,12324361,11111744,"[11130379, 11099359, 11105494]"
13,77,meta-llama/Llama-3.1-8B,12,4,100000000,145659593,45659593,476031,12324361,11111744,"[11130379, 11099359, 11105494]"
13,93,meta-llama/Llama-3.1-8B,12,4,100000000,145659593,45659593,476031,12324361,11111744,"[11130379, 11099359, 11105494]"
14,14,meta-llama/Llama-3.1-8B,12,4,100000000,145661252,45661252,476031,12330637,11110205,"[11125762, 11099359, 11105494]"
14,30,meta-llama/Llama-3.1-8B,12,4,100000000,145661252,45661252,476031,12330637,11110205,"[11125762, 11099359, 11105494]"
14,46,meta-llama/Llama-3.1-8B,12,4,100000000,145661252,45661252,476031,12330637,11110205,"[11125762, 11099359, 11105494]"
14,62,meta-llama/Llama-3.1-8B,12,4,100000000,145661252,45661252,476031,12330637,11110205,"[11125762, 11099359, 11105494]"
14,78,meta-llama/Llama-3.1-8B,12,4,100000000,145661252,45661252,476031,12330637,11110205,"[11125762, 11099359, 11105494]"
14,94,meta-llama/Llama-3.1-8B,12,4,100000000,145661252,45661252,476031,12330637,11110205,"[11125762, 11099359, 11105494]"
15,15,meta-llama/Llama-3.1-8B,12,4,100000000,145662911,45662911,476031,12336913,11108666,"[11121145, 11099479, 11105374]"
15,31,meta-llama/Llama-3.1-8B,12,4,100000000,145662911,45662911,476031,12336913,11108666,"[11121145, 11099479, 11105374]"
15,47,meta-llama/Llama-3.1-8B,12,4,100000000,145662911,45662911,476031,12336913,11108666,"[11121145, 11099479, 11105374]"
15,63,meta-llama/Llama-3.1-8B,12,4,100000000,145662911,45662911,476031,12336913,11108666,"[11121145, 11099479, 11105374]"
15,79,meta-llama/Llama-3.1-8B,12,4,100000000,145662911,45662911,476031,12336913,11108666,"[11121145, 11099479, 11105374]"
15,95,meta-llama/Llama-3.1-8B,12,4,100000000,145662911,45662911,476031,12336913,11108666,"[11121145, 11099479, 11105374]"
