instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,384,16,0,190579340,190579340,1,18944068,11442351,"[11280051, 11280083, 11280147, 11280211, 11280243, 11280307, 12299298, 11321412, 11321540, 11321636, 11321732, 11321860, 11321956, 12329174, 11395622]"
0,2,meta-llama/Llama-3.1-8B,384,16,80000000,270970800,190970800,6625110,18924408,11469759,"[11321412, 11321540, 11321636, 11321732, 11321860, 11321956, 12329174, 11395622, 11321540, 11379476, 11321832, 11321860, 11321956, 12329174, 11395622]"
0,4,meta-llama/Llama-3.1-8B,384,16,160000000,351306424,191306424,6854544,19183718,11474847,"[11395622, 11321540, 11379476, 11321832, 11321860, 11321956, 12329174, 11395622, 11321540, 11323640, 11321832, 11321860, 11321956, 12329174, 11395622]"
0,6,meta-llama/Llama-3.1-8B,384,16,240000000,431642048,191642048,7246004,19575178,11471124,"[11395622, 11321540, 11323640, 11321832, 11321860, 11321956, 12329174, 11395622, 11321540, 11323640, 11321832, 11321860, 11321956, 12329174, 11395622]"
0,8,meta-llama/Llama-3.1-8B,384,16,320000000,510897108,190897108,7581628,19910802,11399087,"[11395622, 11321540, 11323640, 11321832, 11321860, 11321956, 12329174, 11395622, 11321540, 11323640, 11321832, 11321860, 11321956, 11322052, 11322180]"
0,10,meta-llama/Llama-3.1-8B,384,16,400000000,589861209,189861209,7917252,20246426,11307652,"[11395622, 11321540, 11323640, 11321832, 11321860, 11321956, 11322052, 11322180, 11280435, 11280499, 11280531, 11280595, 11280627, 11280691, 11280723]"
1,1,meta-llama/Llama-3.1-8B,384,16,40000000,224675978,184675978,15313,13038602,11442491,"[11280051, 11280083, 11280147, 11280211, 11280243, 11280307, 12299298, 11321412, 11321540, 11321636, 11321732, 11321860, 11321956, 12329174, 11397726]"
1,3,meta-llama/Llama-3.1-8B,384,16,120000000,305011602,185011602,719644,13018942,11466177,"[11321412, 11321540, 11321636, 11321732, 11321860, 11321956, 12329174, 11397726, 11321540, 11321636, 11321732, 11321860, 11321956, 12329174, 11397726]"
1,5,meta-llama/Llama-3.1-8B,384,16,200000000,385347226,185347226,949078,13278252,11471264,"[11397726, 11321540, 11321636, 11321732, 11321860, 11321956, 12329174, 11397726, 11321540, 11321636, 11321732, 11321860, 11321956, 12329174, 11397726]"
1,7,meta-llama/Llama-3.1-8B,384,16,280000000,465682850,185682850,1284702,13613876,11471264,"[11397726, 11321540, 11321636, 11321732, 11321860, 11321956, 12329174, 11397726, 11321540, 11321636, 11321732, 11321860, 11321956, 12329174, 11397726]"
1,9,meta-llama/Llama-3.1-8B,384,16,360000000,544935806,184935806,1620326,13949500,11399087,"[11397726, 11321540, 11321636, 11321732, 11321860, 11321956, 12329174, 11397726, 11321540, 11321636, 11321732, 11321860, 11321956, 11322052, 11322180]"
1,11,meta-llama/Llama-3.1-8B,384,16,440000000,623899907,183899907,1955950,14285124,11307652,"[11397726, 11321540, 11321636, 11321732, 11321860, 11321956, 11322052, 11322180, 11280435, 11280499, 11280531, 11280595, 11280627, 11280691, 11280723]"
