instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,826647831,779721023,0,11008470,11140761,"[11148019, 11148019, 11148019, 11148019, 11148019, 11148019, 11148019, 11148307, 11148595, 11148851, 11149107, 11149331, 11149587, 11149811, 11150003, 11150195, 11150387, 11150579, 11150771, 11150931, 11151123, 11151283, 11151443, 11151411, 11151379, 11151347, 11151315, 11151283, 11151251, 11151219, 11151187, 11151187, 11151155, 11151123, 11151091, 11151091, 11151059, 11151027, 11200453, 11203844, 11204068, 11204228, 11204452, 11204676, 11204868, 11205028, 11205220, 11205412, 11070249, 11243654, 11314897, 11072847, 11073167, 11073455, 11073743, 11073615, 11073711, 11073839, 11073999, 11074159, 11074319, 11074479, 11074639, 11074799, 11074959, 11075087, 11075247, 11075375, 11075503]"
0,2,meta-llama/Llama-3.1-8B,16,69,479613521,1249169198,769555677,2026319,13226772,11122483,"[11203844, 11204068, 11204228, 11204452, 11204676, 11204868, 11205028, 11205220, 11205412, 11070249, 11243654, 11314897, 11072847, 11073167, 11073455, 11073743, 11073615, 11073711, 11073839, 11073999, 11074159, 11074319, 11074479, 11074639, 11074799, 11074959, 11075087, 11075247, 11075375, 11075503, 11243750, 11243750, 11243782, 11243814, 11243814, 11243846, 11243846, 11613739, 11073039, 11072943, 11072847, 11072751, 11072655, 11072559, 11072463, 11072367, 11072271, 11072207, 11072111, 11072143, 11072271, 11072399, 11072495, 11072655, 11072783, 11072879, 11073007, 11073135, 11073263, 11073359, 11073487, 11073583, 11073679, 11073807, 11073935, 11075983, 11077967, 11079983]"
0,6,meta-llama/Llama-3.1-8B,15,84,610813769,1553368848,942555079,5182223,16497120,11157324,"[11072847, 11073167, 11073455, 11073743, 11073615, 11073711, 11073839, 11073999, 11074159, 11074319, 11074479, 11074639, 11074799, 11074959, 11075087, 11075247, 11075375, 11075503, 11243750, 11243750, 11243782, 11243814, 11243814, 11243846, 11243846, 11613739, 11073039, 11072943, 11072847, 11072751, 11072655, 11072559, 11072463, 11072367, 11072271, 11072207, 11072111, 11072143, 11072271, 11072399, 11072495, 11072655, 11072783, 11072879, 11073007, 11073135, 11073263, 11073359, 11073487, 11073583, 11073679, 11073807, 11073935, 11075983, 11077967, 11079983, 11245382, 11245574, 11247526, 11249446, 11251366, 11253222, 11255078, 11256870, 11258662, 11260422, 11262150, 11263878, 11265574, 11267238, 11268870, 11270534, 11272166, 11273734, 11275302, 11276838, 11278374, 11279878, 11281382, 11282886, 11284326, 11285766, 11287206]"
0,8,meta-llama/Llama-3.1-8B,18,58,903845071,1553368848,649523777,1509362,13123101,11164924,"[11073039, 11072943, 11072847, 11072751, 11072655, 11072559, 11072463, 11072367, 11072271, 11072207, 11072111, 11072143, 11072271, 11072399, 11072495, 11072655, 11072783, 11072879, 11073007, 11073135, 11073263, 11073359, 11073487, 11073583, 11073679, 11073807, 11073935, 11075983, 11077967, 11079983, 11245382, 11245574, 11247526, 11249446, 11251366, 11253222, 11255078, 11256870, 11258662, 11260422, 11262150, 11263878, 11265574, 11267238, 11268870, 11270534, 11272166, 11273734, 11275302, 11276838, 11278374, 11279878, 11281382, 11282886, 11284326, 11285766, 11287206]"
0,4,meta-llama/Llama-3.1-8B,13,96,587870263,1665636238,1077765975,5811826,16882075,11167198,"[11243654, 11314897, 11072847, 11073167, 11073455, 11073743, 11073615, 11073711, 11073839, 11073999, 11074159, 11074319, 11074479, 11074639, 11074799, 11074959, 11075087, 11075247, 11075375, 11075503, 11243750, 11243750, 11243782, 11243814, 11243814, 11243846, 11243846, 11613739, 11073039, 11072943, 11072847, 11072751, 11072655, 11072559, 11072463, 11072367, 11072271, 11072207, 11072111, 11072143, 11072271, 11072399, 11072495, 11072655, 11072783, 11072879, 11073007, 11073135, 11073263, 11073359, 11073487, 11073583, 11073679, 11073807, 11073935, 11075983, 11077967, 11079983, 11245382, 11245574, 11247526, 11249446, 11251366, 11253222, 11255078, 11256870, 11258662, 11260422, 11262150, 11263878, 11265574, 11267238, 11268870, 11270534, 11272166, 11273734, 11275302, 11276838, 11278374, 11279878, 11281382, 11282886, 11284326, 11285766, 11287206, 11219539, 11221203, 11222803, 11224435, 11226003, 11227603, 11229139, 11230707, 11232211, 11233747]"
1,3,meta-llama/Llama-3.1-8B,4,12,570907776,705917240,135009464,573870,11503323,11227831,"[11201860, 11202116, 11202372, 11204391, 11241350, 11241670, 11241958, 11242214, 11242502, 11242726, 11242982]"
1,7,meta-llama/Llama-3.1-8B,2,9,811936856,918973546,107036690,6036552,17081570,11244390,"[11243654, 11243878, 11244102, 11244294, 11244518, 11244678, 11244902, 11245094]"
1,5,meta-llama/Llama-3.1-8B,15,63,604829893,1323411766,718581873,11187554,22391945,11228869,"[11241350, 11241670, 11241958, 11242214, 11242502, 11242726, 11242982, 11204836, 11205028, 11205188, 11205380, 11205540, 11205700, 11205860, 11206052, 11206212, 11206372, 11045018, 11243654, 11243878, 11244102, 11244294, 11244518, 11244678, 11244902, 11245094, 11209732, 11210116, 11210468, 11210820, 11211172, 11211492, 11211812, 11212164, 11212484, 11214244, 11064302, 11247142, 11247270, 11247462, 11247622, 11247782, 11247910, 11248102, 11248230, 11248358, 11248518, 11248678, 11248838, 11248966, 11249094, 11249254, 11249382, 11249542, 11249670, 11249798, 11251686, 11253574, 11255430, 11257254, 11259046, 11260806]"
1,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1323411766,296441689,4117973,15182275,11250376,"[11247142, 11247270, 11247462, 11247622, 11247782, 11247910, 11248102, 11248230, 11248358, 11248518, 11248678, 11248838, 11248966, 11249094, 11249254, 11249382, 11249542, 11249670, 11249798, 11251686, 11253574, 11255430, 11257254, 11259046, 11260806]"
1,1,meta-llama/Llama-3.1-8B,22,104,347938952,1514604697,1166665745,127125,11676189,11213490,"[11149587, 11149811, 11150003, 11150195, 11150387, 11150579, 11150771, 11150931, 11151123, 11151283, 11151443, 11151411, 11151379, 11151347, 11151315, 11151283, 11151251, 11151219, 11151187, 10929453, 11201860, 11202116, 11202372, 11204391, 11241350, 11241670, 11241958, 11242214, 11242502, 11242726, 11242982, 11204836, 11205028, 11205188, 11205380, 11205540, 11205700, 11205860, 11206052, 11206212, 11206372, 11045018, 11243654, 11243878, 11244102, 11244294, 11244518, 11244678, 11244902, 11245094, 11209732, 11210116, 11210468, 11210820, 11211172, 11211492, 11211812, 11212164, 11212484, 11214244, 11064302, 11247142, 11247270, 11247462, 11247622, 11247782, 11247910, 11248102, 11248230, 11248358, 11248518, 11248678, 11248838, 11248966, 11249094, 11249254, 11249382, 11249542, 11249670, 11249798, 11251686, 11253574, 11255430, 11257254, 11259046, 11260806, 11235251, 11236723, 11238195, 11239667, 11241107, 11242547, 11243987, 11245395, 11246803, 11248179, 11249555, 11250899, 11252275, 11253619, 11254931, 11256243, 11257555]"
