instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,12,4,0,44476031,44476031,1,11034092,11147313,"[11147313, 11147313, 11147313]"
0,72,meta-llama/Llama-3.1-8B,12,4,100000000,145368086,45368086,476031,11660227,11235953,"[11235953, 11235953, 11235953]"
0,144,meta-llama/Llama-3.1-8B,12,4,100000000,145368086,45368086,476031,11660227,11235953,"[11235953, 11235953, 11235953]"
0,216,meta-llama/Llama-3.1-8B,12,4,100000000,145368086,45368086,476031,11660227,11235953,"[11235953, 11235953, 11235953]"
1,1,meta-llama/Llama-3.1-8B,12,4,100000000,145101105,45101105,476031,11759390,11113905,"[11212465, 11064625, 11064625]"
1,73,meta-llama/Llama-3.1-8B,12,4,100000000,145101105,45101105,476031,11759390,11113905,"[11212465, 11064625, 11064625]"
1,145,meta-llama/Llama-3.1-8B,12,4,100000000,145101105,45101105,476031,11759390,11113905,"[11212465, 11064625, 11064625]"
1,217,meta-llama/Llama-3.1-8B,12,4,100000000,145101105,45101105,476031,11759390,11113905,"[11212465, 11064625, 11064625]"
2,2,meta-llama/Llama-3.1-8B,12,4,100000000,145259379,45259379,476031,11763614,11165255,"[11356201, 11074939, 11064625]"
2,74,meta-llama/Llama-3.1-8B,12,4,100000000,145259379,45259379,476031,11763614,11165255,"[11356201, 11074939, 11064625]"
2,146,meta-llama/Llama-3.1-8B,12,4,100000000,145259379,45259379,476031,11763614,11165255,"[11356201, 11074939, 11064625]"
2,218,meta-llama/Llama-3.1-8B,12,4,100000000,145259379,45259379,476031,11763614,11165255,"[11356201, 11074939, 11064625]"
3,3,meta-llama/Llama-3.1-8B,12,4,100000000,145270959,45270959,476031,11767838,11167707,"[11353123, 11085373, 11064625]"
3,75,meta-llama/Llama-3.1-8B,12,4,100000000,145270959,45270959,476031,11767838,11167707,"[11353123, 11085373, 11064625]"
3,147,meta-llama/Llama-3.1-8B,12,4,100000000,145270959,45270959,476031,11767838,11167707,"[11353123, 11085373, 11064625]"
3,219,meta-llama/Llama-3.1-8B,12,4,100000000,145270959,45270959,476031,11767838,11167707,"[11353123, 11085373, 11064625]"
4,4,meta-llama/Llama-3.1-8B,12,4,100000000,145281393,45281393,476031,11772062,11169777,"[11350045, 11094661, 11064625]"
4,76,meta-llama/Llama-3.1-8B,12,4,100000000,145281393,45281393,476031,11772062,11169777,"[11350045, 11094661, 11064625]"
4,148,meta-llama/Llama-3.1-8B,12,4,100000000,145281393,45281393,476031,11772062,11169777,"[11350045, 11094661, 11064625]"
4,220,meta-llama/Llama-3.1-8B,12,4,100000000,145281393,45281393,476031,11772062,11169777,"[11350045, 11094661, 11064625]"
5,5,meta-llama/Llama-3.1-8B,12,4,100000000,145292973,45292973,476031,11776286,11172229,"[11346967, 11105095, 11064625]"
5,77,meta-llama/Llama-3.1-8B,12,4,100000000,145292973,45292973,476031,11776286,11172229,"[11346967, 11105095, 11064625]"
5,149,meta-llama/Llama-3.1-8B,12,4,100000000,145292973,45292973,476031,11776286,11172229,"[11346967, 11105095, 11064625]"
5,221,meta-llama/Llama-3.1-8B,12,4,100000000,145292973,45292973,476031,11776286,11172229,"[11346967, 11105095, 11064625]"
