instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,12,4,0,44476031,44476031,1,11034092,11147313,"[11147313, 11147313, 11147313]"
0,72,meta-llama/Llama-3.1-8B,12,4,100000000,148207517,48207517,476031,14499658,11235953,"[11235953, 11235953, 11235953]"
0,144,meta-llama/Llama-3.1-8B,12,4,100000000,148207517,48207517,476031,14499658,11235953,"[11235953, 11235953, 11235953]"
0,216,meta-llama/Llama-3.1-8B,12,4,100000000,148207517,48207517,476031,14499658,11235953,"[11235953, 11235953, 11235953]"
1,1,meta-llama/Llama-3.1-8B,12,4,100000000,148241346,48241346,476031,14899631,11113905,"[11212465, 11064625, 11064625]"
1,73,meta-llama/Llama-3.1-8B,12,4,100000000,148241346,48241346,476031,14899631,11113905,"[11212465, 11064625, 11064625]"
1,145,meta-llama/Llama-3.1-8B,12,4,100000000,148241346,48241346,476031,14899631,11113905,"[11212465, 11064625, 11064625]"
1,217,meta-llama/Llama-3.1-8B,12,4,100000000,148241346,48241346,476031,14899631,11113905,"[11212465, 11064625, 11064625]"
2,2,meta-llama/Llama-3.1-8B,12,4,100000000,148399620,48399620,476031,14903855,11165255,"[11356201, 11074939, 11064625]"
2,74,meta-llama/Llama-3.1-8B,12,4,100000000,148399620,48399620,476031,14903855,11165255,"[11356201, 11074939, 11064625]"
2,146,meta-llama/Llama-3.1-8B,12,4,100000000,148399620,48399620,476031,14903855,11165255,"[11356201, 11074939, 11064625]"
2,218,meta-llama/Llama-3.1-8B,12,4,100000000,148399620,48399620,476031,14903855,11165255,"[11356201, 11074939, 11064625]"
3,3,meta-llama/Llama-3.1-8B,12,4,100000000,148411200,48411200,476031,14908079,11167707,"[11353123, 11085373, 11064625]"
3,75,meta-llama/Llama-3.1-8B,12,4,100000000,148411200,48411200,476031,14908079,11167707,"[11353123, 11085373, 11064625]"
3,147,meta-llama/Llama-3.1-8B,12,4,100000000,148411200,48411200,476031,14908079,11167707,"[11353123, 11085373, 11064625]"
3,219,meta-llama/Llama-3.1-8B,12,4,100000000,148411200,48411200,476031,14908079,11167707,"[11353123, 11085373, 11064625]"
4,4,meta-llama/Llama-3.1-8B,12,4,100000000,148421634,48421634,476031,14912303,11169777,"[11350045, 11094661, 11064625]"
4,76,meta-llama/Llama-3.1-8B,12,4,100000000,148421634,48421634,476031,14912303,11169777,"[11350045, 11094661, 11064625]"
4,148,meta-llama/Llama-3.1-8B,12,4,100000000,148421634,48421634,476031,14912303,11169777,"[11350045, 11094661, 11064625]"
4,220,meta-llama/Llama-3.1-8B,12,4,100000000,148421634,48421634,476031,14912303,11169777,"[11350045, 11094661, 11064625]"
5,5,meta-llama/Llama-3.1-8B,12,4,100000000,148433214,48433214,476031,14916527,11172229,"[11346967, 11105095, 11064625]"
5,77,meta-llama/Llama-3.1-8B,12,4,100000000,148433214,48433214,476031,14916527,11172229,"[11346967, 11105095, 11064625]"
5,149,meta-llama/Llama-3.1-8B,12,4,100000000,148433214,48433214,476031,14916527,11172229,"[11346967, 11105095, 11064625]"
5,221,meta-llama/Llama-3.1-8B,12,4,100000000,148433214,48433214,476031,14916527,11172229,"[11346967, 11105095, 11064625]"
6,6,meta-llama/Llama-3.1-8B,12,4,100000000,148443648,48443648,476031,14920751,11174299,"[11343889, 11114383, 11064625]"
6,78,meta-llama/Llama-3.1-8B,12,4,100000000,148443648,48443648,476031,14920751,11174299,"[11343889, 11114383, 11064625]"
6,150,meta-llama/Llama-3.1-8B,12,4,100000000,148443648,48443648,476031,14920751,11174299,"[11343889, 11114383, 11064625]"
6,222,meta-llama/Llama-3.1-8B,12,4,100000000,148443648,48443648,476031,14920751,11174299,"[11343889, 11114383, 11064625]"
7,7,meta-llama/Llama-3.1-8B,12,4,100000000,148455228,48455228,476031,14924975,11176751,"[11340811, 11124817, 11064625]"
7,79,meta-llama/Llama-3.1-8B,12,4,100000000,148455228,48455228,476031,14924975,11176751,"[11340811, 11124817, 11064625]"
7,151,meta-llama/Llama-3.1-8B,12,4,100000000,148455228,48455228,476031,14924975,11176751,"[11340811, 11124817, 11064625]"
7,223,meta-llama/Llama-3.1-8B,12,4,100000000,148455228,48455228,476031,14924975,11176751,"[11340811, 11124817, 11064625]"
8,8,meta-llama/Llama-3.1-8B,12,4,100000000,148465662,48465662,476031,14929199,11178821,"[11337733, 11134105, 11064625]"
8,80,meta-llama/Llama-3.1-8B,12,4,100000000,148465662,48465662,476031,14929199,11178821,"[11337733, 11134105, 11064625]"
8,152,meta-llama/Llama-3.1-8B,12,4,100000000,148465662,48465662,476031,14929199,11178821,"[11337733, 11134105, 11064625]"
8,224,meta-llama/Llama-3.1-8B,12,4,100000000,148465662,48465662,476031,14929199,11178821,"[11337733, 11134105, 11064625]"
9,9,meta-llama/Llama-3.1-8B,12,4,100000000,148479534,48479534,476031,14933423,11182037,"[11334655, 11136517, 11074939]"
9,81,meta-llama/Llama-3.1-8B,12,4,100000000,148479534,48479534,476031,14933423,11182037,"[11334655, 11136517, 11074939]"
9,153,meta-llama/Llama-3.1-8B,12,4,100000000,148479534,48479534,476031,14933423,11182037,"[11334655, 11136517, 11074939]"
9,225,meta-llama/Llama-3.1-8B,12,4,100000000,148479534,48479534,476031,14933423,11182037,"[11334655, 11136517, 11074939]"
10,10,meta-llama/Llama-3.1-8B,12,4,100000000,148491114,48491114,476031,14937647,11184489,"[11331577, 11136517, 11085373]"
10,82,meta-llama/Llama-3.1-8B,12,4,100000000,148491114,48491114,476031,14937647,11184489,"[11331577, 11136517, 11085373]"
10,154,meta-llama/Llama-3.1-8B,12,4,100000000,148491114,48491114,476031,14937647,11184489,"[11331577, 11136517, 11085373]"
10,226,meta-llama/Llama-3.1-8B,12,4,100000000,148491114,48491114,476031,14937647,11184489,"[11331577, 11136517, 11085373]"
11,11,meta-llama/Llama-3.1-8B,12,4,100000000,148501548,48501548,476031,14941871,11186559,"[11328499, 11136517, 11094661]"
11,83,meta-llama/Llama-3.1-8B,12,4,100000000,148501548,48501548,476031,14941871,11186559,"[11328499, 11136517, 11094661]"
11,155,meta-llama/Llama-3.1-8B,12,4,100000000,148501548,48501548,476031,14941871,11186559,"[11328499, 11136517, 11094661]"
11,227,meta-llama/Llama-3.1-8B,12,4,100000000,148501548,48501548,476031,14941871,11186559,"[11328499, 11136517, 11094661]"
12,12,meta-llama/Llama-3.1-8B,12,4,100000000,148513128,48513128,476031,14946095,11189011,"[11325541, 11136397, 11105095]"
12,84,meta-llama/Llama-3.1-8B,12,4,100000000,148513128,48513128,476031,14946095,11189011,"[11325541, 11136397, 11105095]"
12,156,meta-llama/Llama-3.1-8B,12,4,100000000,148513128,48513128,476031,14946095,11189011,"[11325541, 11136397, 11105095]"
12,228,meta-llama/Llama-3.1-8B,12,4,100000000,148513128,48513128,476031,14946095,11189011,"[11325541, 11136397, 11105095]"
13,13,meta-llama/Llama-3.1-8B,12,4,100000000,148523562,48523562,476031,14950319,11191081,"[11322463, 11136397, 11114383]"
13,85,meta-llama/Llama-3.1-8B,12,4,100000000,148523562,48523562,476031,14950319,11191081,"[11322463, 11136397, 11114383]"
13,157,meta-llama/Llama-3.1-8B,12,4,100000000,148523562,48523562,476031,14950319,11191081,"[11322463, 11136397, 11114383]"
13,229,meta-llama/Llama-3.1-8B,12,4,100000000,148523562,48523562,476031,14950319,11191081,"[11322463, 11136397, 11114383]"
14,14,meta-llama/Llama-3.1-8B,12,4,100000000,148535142,48535142,476031,14954543,11193533,"[11319385, 11136397, 11124817]"
14,86,meta-llama/Llama-3.1-8B,12,4,100000000,148535142,48535142,476031,14954543,11193533,"[11319385, 11136397, 11124817]"
14,158,meta-llama/Llama-3.1-8B,12,4,100000000,148535142,48535142,476031,14954543,11193533,"[11319385, 11136397, 11124817]"
14,230,meta-llama/Llama-3.1-8B,12,4,100000000,148535142,48535142,476031,14954543,11193533,"[11319385, 11136397, 11124817]"
15,15,meta-llama/Llama-3.1-8B,12,4,100000000,148540992,48540992,476031,14958767,11194075,"[11316307, 11136397, 11129521]"
