instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,12,4,0,44476031,44476031,1,11034092,11147313,"[11147313, 11147313, 11147313]"
0,32,meta-llama/Llama-3.1-8B,12,4,100000000,145441640,45441640,476031,11660227,11260471,"[11309507, 11235953, 11235953]"
0,64,meta-llama/Llama-3.1-8B,12,4,100000000,145441640,45441640,476031,11660227,11260471,"[11309507, 11235953, 11235953]"
0,96,meta-llama/Llama-3.1-8B,12,4,100000000,145441640,45441640,476031,11660227,11260471,"[11309507, 11235953, 11235953]"
1,1,meta-llama/Llama-3.1-8B,12,4,100000000,144966297,44966297,476031,11759390,11068969,"[11073073, 11066917, 11066917]"
1,33,meta-llama/Llama-3.1-8B,12,4,100000000,144966297,44966297,476031,11759390,11068969,"[11073073, 11066917, 11066917]"
1,65,meta-llama/Llama-3.1-8B,12,4,100000000,144966297,44966297,476031,11759390,11068969,"[11073073, 11066917, 11066917]"
1,97,meta-llama/Llama-3.1-8B,12,4,100000000,144966297,44966297,476031,11759390,11068969,"[11073073, 11066917, 11066917]"
2,2,meta-llama/Llama-3.1-8B,12,4,100000000,144967443,44967443,476031,11763614,11067943,"[11069995, 11066917, 11066917]"
2,34,meta-llama/Llama-3.1-8B,12,4,100000000,144967443,44967443,476031,11763614,11067943,"[11069995, 11066917, 11066917]"
2,66,meta-llama/Llama-3.1-8B,12,4,100000000,144967443,44967443,476031,11763614,11067943,"[11069995, 11066917, 11066917]"
2,98,meta-llama/Llama-3.1-8B,12,4,100000000,144967443,44967443,476031,11763614,11067943,"[11069995, 11066917, 11066917]"
3,3,meta-llama/Llama-3.1-8B,12,4,100000000,144968589,44968589,476031,11767838,11066917,"[11066917, 11066917, 11066917]"
3,35,meta-llama/Llama-3.1-8B,12,4,100000000,144968589,44968589,476031,11767838,11066917,"[11066917, 11066917, 11066917]"
3,67,meta-llama/Llama-3.1-8B,12,4,100000000,144968589,44968589,476031,11767838,11066917,"[11066917, 11066917, 11066917]"
3,99,meta-llama/Llama-3.1-8B,12,4,100000000,144968589,44968589,476031,11767838,11066917,"[11066917, 11066917, 11066917]"
4,4,meta-llama/Llama-3.1-8B,12,4,100000000,145463973,45463973,476031,11663425,11266849,"[11322419, 11242176, 11235953]"
4,36,meta-llama/Llama-3.1-8B,12,4,100000000,145463973,45463973,476031,11663425,11266849,"[11322419, 11242176, 11235953]"
4,68,meta-llama/Llama-3.1-8B,12,4,100000000,145463973,45463973,476031,11663425,11266849,"[11322419, 11242176, 11235953]"
5,5,meta-llama/Llama-3.1-8B,12,4,100000000,145470316,45470316,476031,11666623,11267897,"[11320110, 11247630, 11235953]"
5,37,meta-llama/Llama-3.1-8B,12,4,100000000,145470316,45470316,476031,11666623,11267897,"[11320110, 11247630, 11235953]"
5,69,meta-llama/Llama-3.1-8B,12,4,100000000,145470316,45470316,476031,11666623,11267897,"[11320110, 11247630, 11235953]"
6,6,meta-llama/Llama-3.1-8B,12,4,100000000,145477548,45477548,476031,11669821,11269242,"[11317801, 11253973, 11235953]"
6,38,meta-llama/Llama-3.1-8B,12,4,100000000,145477548,45477548,476031,11669821,11269242,"[11317801, 11253973, 11235953]"
6,70,meta-llama/Llama-3.1-8B,12,4,100000000,145477548,45477548,476031,11669821,11269242,"[11317801, 11253973, 11235953]"
7,7,meta-llama/Llama-3.1-8B,12,4,100000000,145488336,45488336,476031,11673019,11271772,"[11315492, 11257649, 11242176]"
7,39,meta-llama/Llama-3.1-8B,12,4,100000000,145488336,45488336,476031,11673019,11271772,"[11315492, 11257649, 11242176]"
7,71,meta-llama/Llama-3.1-8B,12,4,100000000,145488336,45488336,476031,11673019,11271772,"[11315492, 11257649, 11242176]"
8,8,meta-llama/Llama-3.1-8B,12,4,100000000,145494679,45494679,476031,11676217,11272820,"[11313183, 11257649, 11247630]"
8,40,meta-llama/Llama-3.1-8B,12,4,100000000,145494679,45494679,476031,11676217,11272820,"[11313183, 11257649, 11247630]"
8,72,meta-llama/Llama-3.1-8B,12,4,100000000,145494679,45494679,476031,11676217,11272820,"[11313183, 11257649, 11247630]"
9,9,meta-llama/Llama-3.1-8B,12,4,100000000,145501911,45501911,476031,11679415,11274165,"[11310874, 11257649, 11253973]"
9,41,meta-llama/Llama-3.1-8B,12,4,100000000,145501911,45501911,476031,11679415,11274165,"[11310874, 11257649, 11253973]"
9,73,meta-llama/Llama-3.1-8B,12,4,100000000,145501911,45501911,476031,11679415,11274165,"[11310874, 11257649, 11253973]"
10,10,meta-llama/Llama-3.1-8B,12,4,100000000,145503809,45503809,476031,11682613,11273732,"[11308565, 11257649, 11254982]"
10,42,meta-llama/Llama-3.1-8B,12,4,100000000,145503809,45503809,476031,11682613,11273732,"[11308565, 11257649, 11254982]"
