instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,12,4,0,44412489,44412489,1,11034092,11126132,"[11147313, 11033619, 11197465]"
0,1,meta-llama/Llama-3.1-8B,12,4,20000000,66643573,46643573,2181405,13215024,11142849,"[11197465, 11033619, 11197465]"
0,2,meta-llama/Llama-3.1-8B,12,4,40000000,88874657,48874657,4412489,15446108,11142849,"[11197465, 11033619, 11197465]"
0,3,meta-llama/Llama-3.1-8B,12,4,60000000,111105741,51105741,6643573,17677192,11142849,"[11197465, 11033619, 11197465]"
0,4,meta-llama/Llama-3.1-8B,12,4,80000000,133285654,53285654,8874657,19908276,11125792,"[11197465, 11033619, 11146294]"
0,5,meta-llama/Llama-3.1-8B,12,4,100000000,155629413,55629413,11105741,22139360,11163351,"[11146294, 11197465, 11146294]"
0,6,meta-llama/Llama-3.1-8B,12,4,120000000,166826878,46826878,2139360,13285654,11180408,"[11197465, 11146294, 11197465]"
0,7,meta-llama/Llama-3.1-8B,12,4,140000000,189057962,49057962,4483119,15629413,11142849,"[11197465, 11033619, 11197465]"
0,8,meta-llama/Llama-3.1-8B,12,4,160000000,211237875,51237875,6826878,17860497,11125792,"[11197465, 11033619, 11146294]"
0,9,meta-llama/Llama-3.1-8B,12,4,180000000,233581634,53581634,9057962,20091581,11163351,"[11146294, 11197465, 11146294]"
0,10,meta-llama/Llama-3.1-8B,12,4,200000000,244779099,44779099,91581,11237875,11180408,"[11197465, 11146294, 11197465]"
0,11,meta-llama/Llama-3.1-8B,12,4,220000000,267010183,47010183,2435340,13581634,11142849,"[11197465, 11033619, 11197465]"
0,12,meta-llama/Llama-3.1-8B,12,4,240000000,289241267,49241267,4779099,15812718,11142849,"[11197465, 11033619, 11197465]"
0,13,meta-llama/Llama-3.1-8B,12,4,260000000,311421180,51421180,7010183,18043802,11125792,"[11197465, 11033619, 11146294]"
0,14,meta-llama/Llama-3.1-8B,12,4,280000000,333764939,53764939,9241267,20274886,11163351,"[11146294, 11197465, 11146294]"
0,15,meta-llama/Llama-3.1-8B,12,4,300000000,344962404,44962404,274886,11421180,11180408,"[11197465, 11146294, 11197465]"
0,16,meta-llama/Llama-3.1-8B,12,4,320000000,367193488,47193488,2618645,13764939,11142849,"[11197465, 11033619, 11197465]"
0,17,meta-llama/Llama-3.1-8B,12,4,340000000,389424572,49424572,4962404,15996023,11142849,"[11197465, 11033619, 11197465]"
0,18,meta-llama/Llama-3.1-8B,12,4,360000000,411604485,51604485,7193488,18227107,11125792,"[11197465, 11033619, 11146294]"
0,19,meta-llama/Llama-3.1-8B,12,4,380000000,433948244,53948244,9424572,20458191,11163351,"[11146294, 11197465, 11146294]"
0,20,meta-llama/Llama-3.1-8B,12,4,400000000,445145709,45145709,458191,11604485,11180408,"[11197465, 11146294, 11197465]"
0,21,meta-llama/Llama-3.1-8B,12,4,420000000,467376793,47376793,2801950,13948244,11142849,"[11197465, 11033619, 11197465]"
0,22,meta-llama/Llama-3.1-8B,12,4,440000000,489607877,49607877,5145709,16179328,11142849,"[11197465, 11033619, 11197465]"
0,23,meta-llama/Llama-3.1-8B,12,4,460000000,511787790,51787790,7376793,18410412,11125792,"[11197465, 11033619, 11146294]"
0,24,meta-llama/Llama-3.1-8B,12,4,480000000,534131549,54131549,9607877,20641496,11163351,"[11146294, 11197465, 11146294]"
0,25,meta-llama/Llama-3.1-8B,12,4,500000000,545329014,45329014,641496,11787790,11180408,"[11197465, 11146294, 11197465]"
0,26,meta-llama/Llama-3.1-8B,12,4,520000000,567560098,47560098,2985255,14131549,11142849,"[11197465, 11033619, 11197465]"
0,27,meta-llama/Llama-3.1-8B,12,4,540000000,589791182,49791182,5329014,16362633,11142849,"[11197465, 11033619, 11197465]"
0,28,meta-llama/Llama-3.1-8B,12,4,560000000,611971095,51971095,7560098,18593717,11125792,"[11197465, 11033619, 11146294]"
0,29,meta-llama/Llama-3.1-8B,12,4,580000000,634314854,54314854,9791182,20824801,11163351,"[11146294, 11197465, 11146294]"
0,30,meta-llama/Llama-3.1-8B,12,4,600000000,645512319,45512319,824801,11971095,11180408,"[11197465, 11146294, 11197465]"
0,31,meta-llama/Llama-3.1-8B,12,4,620000000,667743403,47743403,3168560,14314854,11142849,"[11197465, 11033619, 11197465]"
0,32,meta-llama/Llama-3.1-8B,12,4,640000000,689974487,49974487,5512319,16545938,11142849,"[11197465, 11033619, 11197465]"
0,33,meta-llama/Llama-3.1-8B,12,4,660000000,712154400,52154400,7743403,18777022,11125792,"[11197465, 11033619, 11146294]"
0,34,meta-llama/Llama-3.1-8B,12,4,680000000,734498159,54498159,9974487,21008106,11163351,"[11146294, 11197465, 11146294]"
0,35,meta-llama/Llama-3.1-8B,12,4,700000000,745695624,45695624,1008106,12154400,11180408,"[11197465, 11146294, 11197465]"
0,36,meta-llama/Llama-3.1-8B,12,4,720000000,767926708,47926708,3351865,14498159,11142849,"[11197465, 11033619, 11197465]"
0,37,meta-llama/Llama-3.1-8B,12,4,740000000,790157792,50157792,5695624,16729243,11142849,"[11197465, 11033619, 11197465]"
0,38,meta-llama/Llama-3.1-8B,12,4,760000000,812388876,52388876,7926708,18960327,11142849,"[11197465, 11033619, 11197465]"
0,39,meta-llama/Llama-3.1-8B,12,4,780000000,834683502,54683502,10157792,21191411,11164030,"[11197465, 11147313, 11147313]"
