instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,12,4,0,46650299,46650299,1,11034092,11872069,"[11147313, 13271429, 11197465]"
0,1,meta-llama/Llama-3.1-8B,12,4,20000000,71119193,51119193,2181405,15452834,11888786,"[11197465, 13271429, 11197465]"
0,2,meta-llama/Llama-3.1-8B,12,4,40000000,97774726,57774726,6650299,19921728,12617666,"[11197465, 13271429, 13384104]"
0,3,meta-llama/Llama-3.1-8B,12,4,60000000,122356295,62356295,11119193,24390622,12655224,"[13384104, 11197465, 13384104]"
0,4,meta-llama/Llama-3.1-8B,12,4,80000000,135740399,55740399,4390622,17774726,12655224,"[11197465, 13384104, 13384104]"
0,5,meta-llama/Llama-3.1-8B,12,4,100000000,160321968,60321968,8972191,22356295,12655224,"[13384104, 11197465, 13384104]"
0,6,meta-llama/Llama-3.1-8B,12,4,120000000,173706072,53706072,2356295,15740399,12655224,"[11197465, 13384104, 13384104]"
0,7,meta-llama/Llama-3.1-8B,12,4,140000000,198287641,58287641,6937864,20321968,12655224,"[13384104, 11197465, 13384104]"
0,8,meta-llama/Llama-3.1-8B,12,4,160000000,209485106,49485106,321968,13706072,11926344,"[11197465, 13384104, 11197465]"
0,9,meta-llama/Llama-3.1-8B,12,4,180000000,236140639,56140639,4903537,18287641,12617666,"[11197465, 13271429, 13384104]"
0,10,meta-llama/Llama-3.1-8B,12,4,200000000,260722208,60722208,9485106,22756535,12655224,"[13384104, 11197465, 13384104]"
0,11,meta-llama/Llama-3.1-8B,12,4,220000000,274106312,54106312,2756535,16140639,12655224,"[11197465, 13384104, 13384104]"
0,12,meta-llama/Llama-3.1-8B,12,4,240000000,298687881,58687881,7338104,20722208,12655224,"[13384104, 11197465, 13384104]"
0,13,meta-llama/Llama-3.1-8B,12,4,260000000,309885346,49885346,722208,14106312,11926344,"[11197465, 13384104, 11197465]"
0,14,meta-llama/Llama-3.1-8B,12,4,280000000,336540879,56540879,5303777,18687881,12617666,"[11197465, 13271429, 13384104]"
0,15,meta-llama/Llama-3.1-8B,12,4,300000000,361122448,61122448,9885346,23156775,12655224,"[13384104, 11197465, 13384104]"
0,16,meta-llama/Llama-3.1-8B,12,4,320000000,374506552,54506552,3156775,16540879,12655224,"[11197465, 13384104, 13384104]"
0,17,meta-llama/Llama-3.1-8B,12,4,340000000,399088121,59088121,7738344,21122448,12655224,"[13384104, 11197465, 13384104]"
0,18,meta-llama/Llama-3.1-8B,12,4,360000000,410285586,50285586,1122448,14506552,11926344,"[11197465, 13384104, 11197465]"
0,19,meta-llama/Llama-3.1-8B,12,4,380000000,436941119,56941119,5704017,19088121,12617666,"[11197465, 13271429, 13384104]"
0,20,meta-llama/Llama-3.1-8B,12,4,400000000,461522688,61522688,10285586,23557015,12655224,"[13384104, 11197465, 13384104]"
0,21,meta-llama/Llama-3.1-8B,12,4,420000000,474906792,54906792,3557015,16941119,12655224,"[11197465, 13384104, 13384104]"
0,22,meta-llama/Llama-3.1-8B,12,4,440000000,499488361,59488361,8138584,21522688,12655224,"[13384104, 11197465, 13384104]"
0,23,meta-llama/Llama-3.1-8B,12,4,460000000,510685826,50685826,1522688,14906792,11926344,"[11197465, 13384104, 11197465]"
0,24,meta-llama/Llama-3.1-8B,12,4,480000000,537341359,57341359,6104257,19488361,12617666,"[11197465, 13271429, 13384104]"
0,25,meta-llama/Llama-3.1-8B,12,4,500000000,561922928,61922928,10685826,23957255,12655224,"[13384104, 11197465, 13384104]"
0,26,meta-llama/Llama-3.1-8B,12,4,520000000,575307032,55307032,3957255,17341359,12655224,"[11197465, 13384104, 13384104]"
0,27,meta-llama/Llama-3.1-8B,12,4,540000000,599888601,59888601,8538824,21922928,12655224,"[13384104, 11197465, 13384104]"
0,28,meta-llama/Llama-3.1-8B,12,4,560000000,611086066,51086066,1922928,15307032,11926344,"[11197465, 13384104, 11197465]"
0,29,meta-llama/Llama-3.1-8B,12,4,580000000,637741599,57741599,6504497,19888601,12617666,"[11197465, 13271429, 13384104]"
0,30,meta-llama/Llama-3.1-8B,12,4,600000000,662323168,62323168,11086066,24357495,12655224,"[13384104, 11197465, 13384104]"
0,31,meta-llama/Llama-3.1-8B,12,4,620000000,675707272,55707272,4357495,17741599,12655224,"[11197465, 13384104, 13384104]"
0,32,meta-llama/Llama-3.1-8B,12,4,640000000,700288841,60288841,8939064,22323168,12655224,"[13384104, 11197465, 13384104]"
0,33,meta-llama/Llama-3.1-8B,12,4,660000000,713672945,53672945,2323168,15707272,12655224,"[11197465, 13384104, 13384104]"
0,34,meta-llama/Llama-3.1-8B,12,4,680000000,738254514,58254514,6904737,20288841,12655224,"[13384104, 11197465, 13384104]"
0,35,meta-llama/Llama-3.1-8B,12,4,700000000,749451979,49451979,288841,13672945,11926344,"[11197465, 13384104, 11197465]"
0,36,meta-llama/Llama-3.1-8B,12,4,720000000,776107512,56107512,4870410,18254514,12617666,"[11197465, 13271429, 13384104]"
0,37,meta-llama/Llama-3.1-8B,12,4,740000000,800689081,60689081,9451979,22723408,12655224,"[13384104, 11197465, 13384104]"
0,38,meta-llama/Llama-3.1-8B,12,4,760000000,811886546,51886546,2723408,16107512,11926344,"[11197465, 13384104, 11197465]"
0,39,meta-llama/Llama-3.1-8B,12,4,780000000,834181172,54181172,7304977,20689081,11164030,"[11197465, 11147313, 11147313]"
