instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,16,4,0,44543319,44543319,1,11100756,11147521,"[11147233, 11147521, 11147809]"
0,1,meta-llama/Llama-3.1-8B,520,4,60000000,119293814,59293814,543319,25436787,11285675,"[11285569, 11285665, 11285793]"
0,2,meta-llama/Llama-3.1-8B,520,4,120000000,179044309,59044309,293814,25187282,11285675,"[11285569, 11285665, 11285793]"
0,3,meta-llama/Llama-3.1-8B,520,4,180000000,238794804,58794804,44309,24937777,11285675,"[11285569, 11285665, 11285793]"
0,4,meta-llama/Llama-3.1-8B,520,4,240000000,299545299,59545299,794804,25688272,11285675,"[11285569, 11285665, 11285793]"
0,5,meta-llama/Llama-3.1-8B,520,4,300000000,359295794,59295794,545299,25438767,11285675,"[11285569, 11285665, 11285793]"
0,6,meta-llama/Llama-3.1-8B,520,4,360000000,419046289,59046289,295794,25189262,11285675,"[11285569, 11285665, 11285793]"
0,7,meta-llama/Llama-3.1-8B,520,4,420000000,478796784,58796784,46289,24939757,11285675,"[11285569, 11285665, 11285793]"
0,8,meta-llama/Llama-3.1-8B,520,4,480000000,539547279,59547279,796784,25690252,11285675,"[11285569, 11285665, 11285793]"
0,9,meta-llama/Llama-3.1-8B,520,4,540000000,599297774,59297774,547279,25440747,11285675,"[11285569, 11285665, 11285793]"
0,10,meta-llama/Llama-3.1-8B,520,4,600000000,659048269,59048269,297774,25191242,11285675,"[11285569, 11285665, 11285793]"
0,11,meta-llama/Llama-3.1-8B,520,4,660000000,718798764,58798764,48269,24941737,11285675,"[11285569, 11285665, 11285793]"
0,12,meta-llama/Llama-3.1-8B,520,4,720000000,779549259,59549259,798764,25692232,11285675,"[11285569, 11285665, 11285793]"
0,13,meta-llama/Llama-3.1-8B,520,4,780000000,839299754,59299754,549259,25442727,11285675,"[11285569, 11285665, 11285793]"
0,14,meta-llama/Llama-3.1-8B,520,4,840000000,899050249,59050249,299754,25193222,11285675,"[11285569, 11285665, 11285793]"
0,15,meta-llama/Llama-3.1-8B,520,4,900000000,958800744,58800744,50249,24943717,11285675,"[11285569, 11285665, 11285793]"
0,16,meta-llama/Llama-3.1-8B,520,4,960000000,1019551239,59551239,800744,25694212,11285675,"[11285569, 11285665, 11285793]"
0,17,meta-llama/Llama-3.1-8B,520,4,1020000000,1079327512,59327512,551239,25470485,11285675,"[11285569, 11285665, 11285793]"
0,18,meta-llama/Llama-3.1-8B,520,4,1080000000,1139101688,59101688,327512,25244661,11285675,"[11285569, 11285665, 11285793]"
0,19,meta-llama/Llama-3.1-8B,520,4,1140000000,1198875864,58875864,101688,25018837,11285675,"[11285569, 11285665, 11285793]"
0,20,meta-llama/Llama-3.1-8B,520,4,1200000000,1259650040,59650040,875864,25793013,11285675,"[11285569, 11285665, 11285793]"
0,21,meta-llama/Llama-3.1-8B,16,4,1260000000,1305183959,45183959,650040,11741396,11147521,"[11147233, 11147521, 11147809]"
